Champion,Runes
aatrox,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
ahri,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/TasteOfBlood/GreenTerror_TasteOfBlood.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/SixthSense/SixthSense.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/UltimateHunter/UltimateHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/TasteOfBlood/GreenTerror_TasteOfBlood.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/SixthSense/SixthSense.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/UltimateHunter/UltimateHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
akali,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/SuddenImpact/SuddenImpact.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/GrislyMementos/GrislyMementos.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/UltimateHunter/UltimateHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/SuddenImpact/SuddenImpact.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/GrislyMementos/GrislyMementos.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/UltimateHunter/UltimateHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
akshan,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PressTheAttack/PressTheAttack.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/SuddenImpact/SuddenImpact.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/TreasureHunter/TreasureHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PressTheAttack/PressTheAttack.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/SuddenImpact/SuddenImpact.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/TreasureHunter/TreasureHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
alistar,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/GlacialAugment/GlacialAugment.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/HextechFlashtraption/HextechFlashtraption.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsMovementSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/GlacialAugment/GlacialAugment.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/HextechFlashtraption/HextechFlashtraption.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsMovementSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
ambessa,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/GraspOfTheUndying/GraspOfTheUndying.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/MirrorShell/MirrorShell.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/GraspOfTheUndying/GraspOfTheUndying.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/MirrorShell/MirrorShell.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
amumu,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/CheapShot/CheapShot.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/UltimateHunter/UltimateHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/CheapShot/CheapShot.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/UltimateHunter/UltimateHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
anivia,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/CheapShot/CheapShot.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/GrislyMementos/GrislyMementos.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/RelentlessHunter/RelentlessHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/CheapShot/CheapShot.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/GrislyMementos/GrislyMementos.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/RelentlessHunter/RelentlessHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
annie,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/CheapShot/CheapShot.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/GrislyMementos/GrislyMementos.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/RelentlessHunter/RelentlessHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NullifyingOrb/Axiom_Arcanist.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/Electrocute/Electrocute.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/CheapShot/CheapShot.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/GrislyMementos/GrislyMementos.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Domination/RelentlessHunter/RelentlessHunter.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NullifyingOrb/Axiom_Arcanist.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
aphelios,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PressTheAttack/PressTheAttack.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendBloodline/LegendBloodline.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PressTheAttack/PressTheAttack.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendBloodline/LegendBloodline.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
